H-ID,type_id,URI,digitization_of H-ID,IIIF,ARK
46760,126,https://gallica.bnf.fr/ark:/12148/btv1b10549440j,[45708],https://gallica.bnf.fr/iiif/ark:/12148/btv1b10549440j/manifest.json,ark:/12148/btv1b10549440j
46761,126,https://gallica.bnf.fr/ark:/12148/btv1b10090071s,[46051],https://gallica.bnf.fr/iiif/ark:/12148/btv1b10090071s/manifest.json,ark:/12148/btv1b10090071s
46762,126,https://gallica.bnf.fr/ark:/12148/btv1b52519057z,[46052],https://gallica.bnf.fr/iiif/ark:/12148/btv1b52519057z/manifest.json,ark:/12148/btv1b52519057z
46763,126,https://gallica.bnf.fr/ark:/12148/btv1b10089855k,[46053],https://gallica.bnf.fr/iiif/ark:/12148/btv1b10089855k/manifest.json,ark:/12148/btv1b10089855k
46764,126,https://gallica.bnf.fr/ark:/12148/btv1b8449036k,[46054],https://gallica.bnf.fr/iiif/ark:/12148/btv1b8449036k/manifest.json,ark:/12148/btv1b8449036k
46765,126,https://gallica.bnf.fr/ark:/12148/btv1b550063539,[46057],https://gallica.bnf.fr/iiif/ark:/12148/btv1b550063539/manifest.json,ark:/12148/btv1b550063539
46766,126,https://gallica.bnf.fr/ark:/12148/btv1b52507405h,[46059],https://gallica.bnf.fr/iiif/ark:/12148/btv1b52507405h/manifest.json,ark:/12148/btv1b52507405h
46767,126,https://gallica.bnf.fr/ark:/12148/btv1b54001703s,[46060],https://gallica.bnf.fr/iiif/ark:/12148/btv1b54001703s/manifest.json,ark:/12148/btv1b54001703s
46768,126,https://gallica.bnf.fr/ark:/12148/btv1b100737780,[46061],https://gallica.bnf.fr/iiif/ark:/12148/btv1b100737780/manifest.json,ark:/12148/btv1b100737780
46769,126,https://gallica.bnf.fr/ark:/12148/btv1b10465175v,[46062],https://gallica.bnf.fr/iiif/ark:/12148/btv1b10465175v/manifest.json,ark:/12148/btv1b10465175v
46770,126,https://gallica.bnf.fr/ark:/12148/btv1b10088942v,[46063],https://gallica.bnf.fr/iiif/ark:/12148/btv1b10088942v/manifest.json,ark:/12148/btv1b10088942v
46771,126,https://gallica.bnf.fr/ark:/12148/btv1b10515441p,[45709],https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515441p/manifest.json,ark:/12148/btv1b10515441p
46772,126,https://gallica.bnf.fr/ark:/12148/btv1b100735196,[46066],https://gallica.bnf.fr/iiif/ark:/12148/btv1b100735196/manifest.json,ark:/12148/btv1b100735196
46773,126,https://gallica.bnf.fr/ark:/12148/btv1b6000370c,[46067],https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000370c/manifest.json,ark:/12148/btv1b6000370c
46774,126,https://gallica.bnf.fr/ark:/12148/btv1b10089857g,[46068],https://gallica.bnf.fr/iiif/ark:/12148/btv1b10089857g/manifest.json,ark:/12148/btv1b10089857g
46775,126,https://gallica.bnf.fr/ark:/12148/btv1b105326322,[46070],https://gallica.bnf.fr/iiif/ark:/12148/btv1b105326322/manifest.json,ark:/12148/btv1b105326322
46776,126,https://gallica.bnf.fr/ark:/12148/btv1b10086330k,[46072],https://gallica.bnf.fr/iiif/ark:/12148/btv1b10086330k/manifest.json,ark:/12148/btv1b10086330k
46777,126,https://gallica.bnf.fr/ark:/12148/btv1b53000321m,[46074],https://gallica.bnf.fr/iiif/ark:/12148/btv1b53000321m/manifest.json,ark:/12148/btv1b53000321m
46778,126,https://gallica.bnf.fr/ark:/12148/btv1b10540981f,[46076],https://gallica.bnf.fr/iiif/ark:/12148/btv1b10540981f/manifest.json,ark:/12148/btv1b10540981f
46779,126,https://gallica.bnf.fr/ark:/12148/btv1b6000416x,[46077],https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000416x/manifest.json,ark:/12148/btv1b6000416x
