H-ID,type_id,is_inscribed_on H-ID,div_order,number_of_verses,part_of_text,volume_number,physical_description H-ID,number_of_lines,verses_per_line,verses_per_line TRM-ID,lines_are_incomplete,lines_are_incomplete TRM-ID,page_ranges,review_status,review_status TRM-ID,review_note
47430,125,47428,1.0,80.0,,,47431.0,80.0,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,Check.
47434,125,47432,1.0,380.0,,,47435.0,380.0,,,Yes,9497,[1r-2v],Action required,9697,Check.
47438,125,47436,1.0,557.0,Conclusion,,47439.0,557.0,one verse per line,9831.0,Yes,9497,[1r-10r],Action required,9697,Check material!
47442,125,47440,1.0,68.0,,,47443.0,68.0,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,Check.
47446,125,47444,1.0,2400.0,,,47447.0,2400.0,one verse per line,9831.0,Yes,9497,[1r-10v],Action required,9697,Check.
47450,125,47448,1.0,200.0,,,47447.0,200.0,one verse per line,9831.0,Yes,9497,"[1r-1v, 2r-2v]",Action required,9697,Check.
47455,125,47453,1.0,80.0,,,47456.0,80.0,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,Check.
47459,125,47457,1.0,132.0,,,47460.0,132.0,one verse per line,9831.0,Yes,9497,[1r],Action required,9697,Check.
47464,125,47461,1.0,72.0,,,47465.0,72.0,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,Check.
47468,125,47466,1.0,320.0,,,47469.0,320.0,one verse per line,9831.0,Yes,9497,[1r-2v],Action required,9697,Check.
47479,125,47476,1.0,304.0,,,47480.0,304.0,one verse per line,9831.0,Yes,9497,[1r-2v],Action required,9697,Check.
47501,125,47498,1.0,14300.0,,,47502.0,14300.0,one verse per line,9831.0,No,9498,[1r-108v],Action required,9697,Check.
47506,125,47504,1.0,172.0,,,47507.0,172.0,one verse per line,9831.0,Yes,9497,"[1r-2v, 3r-3v]",Action required,9697,Check.
47511,125,47509,1.0,585.0,,,47512.0,585.0,one verse per line,9831.0,Yes,9497,"[1r-1v, 2r-2v]",Action required,9697,Check.
47515,125,47513,1.0,910.0,Parts of book IX and X,,47516.0,910.0,one verse per line,9831.0,Yes,9497,"[1r-2v, 3r-4v, 5r-6v, 7r-8v]",Action required,9697,Check.
47521,125,47518,1.0,158.0,,,47522.0,158.0,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,Check.
47533,125,47530,1.0,120.0,,,47534.0,120.0,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,Check.
47537,125,47535,1.0,89.0,,,47538.0,89.0,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,Check.
47542,125,47540,1.0,314.0,Eerste zang,,47543.0,314.0,one verse per line,9831.0,No,9498,[1r-1v],Action required,9697,Check.
47546,125,47544,1.0,136.0,,,47547.0,136.0,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,Check.
47553,125,47550,1.0,3973.0,Full text,,47554.0,3973.0,one verse per line,9831.0,No,9498,[33r-58v],Action required,9697,Check order.
47557,125,47555,1.0,441.0,,,47558.0,441.0,one verse per line,9831.0,Yes,9497,"[1r-2v, 3r-4v, 5r-6v, 7r-8v]",Action required,9697,Check.
47570,125,47563,1.0,537.0,,,47571.0,537.0,one verse per line,9831.0,Yes,9497,"[1r-2v, 3r-4v]",Action required,9697,Check.
47572,125,47567,2.0,120.0,,,47571.0,120.0,one verse per line,9831.0,Yes,9497,"[1r-1v, 2r-2v]",Action required,9697,Check.
47578,125,47573,1.0,183.0,,,47579.0,183.0,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,Check.
47580,125,47575,2.0,176.0,,,47579.0,176.0,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,Check.
47583,125,47581,1.0,563.0,,,47584.0,563.0,one verse per line,9831.0,Yes,9497,"[1r-1v, 2r-2v, 3r-3v, 4r-4v]",Action required,9697,Check.
47588,125,47585,1.0,251.0,,,47589.0,251.0,one verse per line,9831.0,Yes,9497,"[1r-1v, 2r-2v]",Action required,9697,Check.
47590,125,47586,2.0,269.0,,,47589.0,269.0,one verse per line,9831.0,Yes,9497,"[1r-1v, 2r-2v]",Action required,9697,Check.
47593,125,47591,1.0,164.0,,,47594.0,164.0,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,Check.
47616,125,47614,1.0,60.0,,,47617.0,60.0,one verse per line,9831.0,Yes,9497,"[1r-1v, 2r-2v]",Action required,9697,Check.
47620,125,47618,1.0,320.0,,,47621.0,320.0,one verse per line,9831.0,Yes,9497,[1r-2v],Action required,9697,Check.
