H-ID,type_id,subject_of_description H-ID,material,material TRM-ID,form,form TRM-ID,folio_size_width,folio_size_height,folio_size_reference,estimated_folio_size_height,estimated_folio_size_width,estimated_folio_size_reference,has_decorations,has_decorations TRM-ID,amount_of_illustrations,amount_of_illustrations TRM-ID,writing_surface_area_height,writing_surface_area_width,writing_surface_area_reference,number_of_columns,number_of_lines_in_writing_area,above_top_line,above_top_line TRM-ID,script_type,script_type TRM-ID,subscript_type,subscript_type TRM-ID
47993,129,47990.0,perg,9782,codex,9788,105-109,231-245,"Kienhorst (1988), p. 43.",,,,[rubrication],[9795],none,9800,212-217,,,2,42,unknown,9535.0,textualis,9806,,
47998,129,47995.0,perg,9782,codex,9788,170,250,"Kienhorst (1988), p. 47.",,,,[rubrication],[9795],none,9800,,122-125,,2,,,,textualis,9806,,
48005,129,48000.0,perg,9782,codex,9788,174-178,260,"Kienhorst (1988), p. 49.",,,,[rubrication],[9795],none,9800,210-215,144,,2,50,,,textualis,9806,,
48012,129,48009.0,perg,9782,codex,9788,260,370,"Kienhorst (1988), p. 53.",,,,"[unrelated pictures, initial, rubrication]","[9833, 9794, 9795]",one,9801,297,195,,3,60,unknown,9535.0,textualis,9806,,
48017,129,48014.0,perg,9782,codex,9788,160,210,"Kienhorst (1988), p. 57.",,,,[rubrication],[9795],none,9800,,133,,2,,,,textualis,9806,,
48030,129,48026.0,perg,9782,codex,9788,105,153,"Kienhorst (1988), p. 61.",,,,[no decoration],[9797],none,9800,122-124,80,,1,24,unknown,9535.0,textualis,9806,,
48039,129,48032.0,perg,9782,codex,9788,180-190,260,"Kienhorst (1988), p. 64.",,,,[rubrication],[9795],none,9800,200-210,141-149,,2,46-50,unknown,9535.0,textualis,9806,,
48047,129,48044.0,chart,9783,codex,9788,205,289,"Kienhorst (1988), p. 66.",,,,[unknown],[9793],unknown,9799,205,150,,2,36-43,unknown,9535.0,cursiva,9807,,
48053,129,48050.0,perg,9782,codex,9788,184,273,"Kienhorst (1988), p. 71.",,,,[rubrication],[9795],none,9800,221-223,,,2,50,,,textualis,9806,,
48057,129,48054.0,perg,9782,codex,9788,225-230,320,"Kienhorst (1988), p. 72.",,,,"[rubrication, initial]","[9795, 9794]",none,9800,,200,,3,,,,textualis,9806,,
48061,129,48058.0,perg,9782,codex,9788,170-180,260,"Kienhorst (1988), p. 73.",,,,[no decoration],[9797],none,9800,215,126,,2,50,unknown,9535.0,textualis,9806,,
48066,129,48063.0,perg,9782,codex,9788,170-180,260,"Kienhorst (1988), p. 74.",,,,[rubrication],[9795],none,9800,215,138-140,,2,50,,,textualis,9806,,
48071,129,48068.0,perg,9782,codex,9788,172-173,236-238,"Kienhorst (1988), p. 76.",,,,[rubrication],[9795],none,9800,177,139-140,,2,31,unknown,9535.0,textualis,9806,,
48076,129,48073.0,perg,9782,codex,9788,175,NA,"Kienhorst (1988), p. 78.",,,,[rubrication],[9795],none,9800,,136,,2,,,,textualis,9806,,
48081,129,48078.0,perg,9782,codex,9788,200,300,"Kienhorst (1988), p. 88.",,,,[rubrication],[9795],none,9800,234-235,160,,3,52,unknown,9535.0,textualis,9806,,
48092,129,48088.0,perg,9782,codex,9788,225,280-328,"Kienhorst (1988), p. 92.",,,,"[rubrication, initial]","[9795, 9794]",none,9800,277-284,164-165,,3,66,unknown,9535.0,textualis,9806,,
48096,129,48093.0,perg,9782,codex,9788,250,374-376,"Kienhorst (1988), p. 93.",,,,[rubrication],[9795],none,9800,285-287,166-167,,3,65-66,unknown,9535.0,textualis,9806,,
48104,129,48098.0,perg,9782,codex,9788,272-274,380-391,"Kienhorst (1988), p. 95.",,,,[rubrication],[9795],none,9800,295,195-196,,2,52,unknown,9535.0,textualis,9806,,
48113,129,48110.0,perg,9782,codex,9788,115-120,180,"Kienhorst (1988), p. 113.",,,,[rubrication],[9795],none,9800,145,73,,1,30,unknown,9535.0,textualis,9806,,
48119,129,45381.0,perg,9782,codex,9788,205-210,293-298,"Kienhorst (1988), p. 120.",,,,[rubrication],[9795],none,9800,210-212,138,,2,41,unknown,9535.0,textualis,9806,,
48125,129,48121.0,perg,9782,codex,9788,188,255,"Kienhorst (1988), p. 122.",,,,[rubrication],[9795],none,9800,231-232,145,,2,46,unknown,9535.0,textualis,9806,,
48140,129,48127.0,perg,9782,codex,9788,291-296,385-388,"Kienhorst (1988), p. 116.",,,,"[rubrication, initial]","[9795, 9794]",none,9800,278-280,204-209,,3,60,unknown,9535.0,textualis,9806,,
48159,129,48154.0,perg,9782,codex,9788,192-195,280,"Kienhorst (1988), p. 125.",,,,[rubrication],[9795],none,9800,,155,,2,,,,textualis,9806,,
48170,129,48166.0,perg,9782,codex,9788,240,340-350,"Kienhorst (1988), p. 140.",,,,"[rubrication, initial]","[9795, 9794]",none,9800,272-275,185-187,,3,55,unknown,9535.0,textualis,9806,,
48174,129,48171.0,perg,9782,codex,9788,196,280,"Kienhorst (1988), p. 141.",,,,[rubrication],[9795],none,9800,205,131,,2,40,unknown,9535.0,textualis,9806,,
48178,129,48175.0,perg,9782,codex,9788,218-227,302-310,"Kienhorst (1988), p. 142.",,,,[rubrication],[9795],none,9800,227-238,154-158,,3,56,unknown,9535.0,textualis,9806,,
48185,129,48182.0,perg,9782,codex,9788,185,260-270,"Kienhorst (1988), p. 144.",,,,"[rubrication, incomplete dec.]","[9795, 9796]",none,9800,220-223,145,,2,44,unknown,9535.0,textualis,9806,,
48190,129,48187.0,perg,9782,codex,9788,90,134-151,"Kienhorst (1988), p. 146.",,,,[rubrication],[9795],none,9800,130-133,80,,1,36,unknown,9535.0,textualis,9806,,
48195,129,48191.0,perg,9782,codex,9788,180,250,"Kienhorst (1988), p. 151.",,,,[rubrication],[9795],none,9800,,133-134,,2,48,unknown,9535.0,textualis,9806,,
48203,129,48198.0,perg,9782,codex,9788,165-170,240,"Kienhorst (1988), p. 154.",,,,[rubrication],[9795],none,9800,190-195,124-125,,2,38,unknown,9535.0,textualis,9806,,
48212,129,48206.0,perg,9782,codex,9788,170-180,270,"Kienhorst (1988), p. 156.",,,,[rubrication],[9795],none,9800,225,130-135,,2,50,unknown,9535.0,textualis,9806,,
48220,129,48215.0,perg,9782,codex,9788,230-235,345,"Kienhorst (1988), p. 158.",,,,"[rubrication, initial]","[9795, 9794]",more than one,9802,285,175-180,,2,45,unknown,9535.0,textualis,9806,,
48226,129,48223.0,perg,9782,codex,9788,160,230,"Kienhorst (1988), p. 160.",,,,[rubrication],[9795],none,9800,190-192,119,,2,40,,,textualis,9806,,
48230,129,48227.0,perg,9782,codex,9788,180,250,"Kienhorst (1988), p. 161.",,,,[rubrication],[9795],none,9800,190,125,,2,42,unknown,9535.0,textualis,9806,,
48235,129,48231.0,perg,9782,codex,9788,145-150,210,"Kienhorst (1988), p. 163.",,,,"[unrelated pictures, rubrication]","[9833, 9795]",none,9800,150,90,,1,30,unknown,9535.0,cursiva,9807,bastarda,9824.0
48244,129,48240.0,perg,9782,codex,9788,145-150,220,"Kienhorst (1988), p. 165.",,,,[rubrication],[9795],none,9800,175,115,,2,46,unknown,9535.0,textualis,9806,,
48248,129,48245.0,perg,9782,codex,9788,190-200,272-275,"Kienhorst (1988), p. 166.",,,,[rubrication],[9795],none,9800,230,139,,2,48,unknown,9535.0,textualis,9806,,
48253,129,48249.0,perg,9782,codex,9788,155,230,"Kienhorst (1988), p. 166.",,,,[rubrication],[9795],none,9800,187,123,,2,39-40,unknown,9535.0,textualis,9806,,
48257,129,48254.0,perg,9782,codex,9788,106,79-84,"Kienhorst (1988), p. 167.",,,,[rubrication],[9795],none,9800,,75-76,,1,34-36,unknown,9535.0,textualis,9806,,
48267,129,48261.0,perg,9782,codex,9788,200,288-291,"Kienhorst (1988), p. 169.",,,,"[rubrication, initial]","[9795, 9794]",none,9800,230,,,2,37,unknown,9535.0,textualis,9806,,
48275,129,48271.0,perg,9782,codex,9788,150,212,"Kienhorst (1988), p. 178",,,,[rubrication],[9795],none,9800,170,120,,2,40,unknown,9535.0,textualis,9806,,
48281,129,48278.0,perg,9782,codex,9788,170,240,"Kienhorst (1988), p. 186.",,,,[rubrication],[9795],none,9800,,131,,2,,unknown,9535.0,textualis,9806,,
